country,iso3,indicator_code,indicator_name,year,value,unit,obs_status,decimal,variable
Low income,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
Lower middle income,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
Lower middle income,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
Lower middle income,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
Lower middle income,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
Lower middle income,,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan",MEA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan",MEA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan",MEA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan",MEA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan",MEA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2017,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2016,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2015,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2019,,,,1,physicians_per_1000
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",2018,,,,1,physicians_per_1000
