iso3,country,observed_shock_burden,oof_predicted_ridge_mean_over_repeats,oof_predicted_ridge_repeat1,pi80_low,pi80_high,pi95_low,pi95_high,covered_80,covered_95
KAZ,Kazakhstan,4240.0146,4021.844933238591,3382.9953168704687,1207.6435151471483,5558.347118593789,-215.38019002396004,6981.370823764897,True,True
ROU,Romania,5864.2363,4225.984084470636,4237.0338882339165,2123.2809506712865,6350.7868257965465,764.1429169360249,7709.924859531808,True,True
SMR,San Marino,3935.886,3969.883444850943,4132.84767244568,1887.7195429589115,6377.975801932447,592.0821747928062,7673.613170098553,True,True
SYC,Seychelles,-546.97345,891.7096200294105,820.8643809591463,-1406.4082219286192,3048.136983846912,-2820.6756016053805,4462.404363523673,True,True
RUS,Russian Federation,8749.637,4350.839726274,4976.089983795031,2730.961854308263,7221.218113281799,1435.3244861421576,8516.855481447905,False,False
CHL,Chile,3120.594,2313.8130623694633,2127.592288839832,13.839351277201786,4241.345226402462,-1345.2986824580598,5600.483260137724,True,True
TUR,Turkiye,2705.4653,3470.9459423125395,3560.1162425674747,1332.8436396797092,5787.38884545524,-81.42373999705205,7201.656225132001,True,True
BRA,Brazil,3766.584,3071.721574746684,3073.0148474625885,885.6479932435054,5260.381701681672,-668.2455837638108,6814.275278688988,True,True
SRB,Serbia,8464.41,5531.930117704165,5435.675036802417,3260.3232350790963,7611.026838525737,1837.299529907988,9034.050543696845,False,True
MKD,North Macedonia,7957.562,4566.668754680765,4589.454405027514,2475.7014674648844,6703.207342590144,1116.5634337296228,8062.345376325406,False,True
CYP,Cyprus,1689.024,2632.367332219711,2658.755842688978,483.4040409656577,4834.107644412299,-939.6196642054506,6257.131349583407,True,True
BGR,Bulgaria,10165.963,5044.299041318282,5020.466960155667,2793.1943572679015,7247.739563043433,1378.9269775911403,8662.006942720194,False,False
SGP,Singapore,972.30634,-19.495162080453394,-212.7178508207021,-2326.470788383332,1901.035086741928,-3685.6088221185937,3260.1731204771895,True,True
LVA,Latvia,5407.656,5259.073813878897,4884.794917960429,2657.522315072664,7112.067520848195,1243.2549353959025,8526.334900524957,True,True
JOR,Jordan,1475.2865,1205.4204324300338,1162.7256893614533,-1064.5469135263122,3389.998292249219,-2478.8142932030732,4804.26567192598,True,True
NIC,Nicaragua,2660.4993,1453.4150531147245,1466.3434173070798,-709.0083844162407,3641.6952190304,-2132.032089587349,5064.718924201508,True,True
TUN,Tunisia,2412.1658,1708.7447305723758,1554.4637827061806,-690.6643467805875,3799.5919121929487,-1986.3017149466928,5095.2292803590535,True,True
IRN,"Iran, Islamic Rep.",3064.1272,2769.943041498103,2842.4744792641545,615.201876376389,5069.74708215192,-799.0655033003723,6484.014461828681,True,True
VCT,St. Vincent and the Grenadines,1232.5092,3566.1292200684047,3282.5330310928775,1107.181229369557,5457.8848328161985,-315.84247580155125,6880.908537987307,True,True
ALB,Albania,5970.3384,3905.204212859121,3807.0016507724417,1693.2487132098117,5920.754588335072,334.1106794745501,7279.892622070333,False,True
UZB,Uzbekistan,1438.2266,3398.168809388166,3999.952066981975,1812.5852127628918,6187.318921201058,258.6916357555756,7741.212498208374,False,True
KNA,St. Kitts and Nevis,4525.9116,1624.6153665707807,1504.38885350069,-609.36408406194,3618.14179106332,-1968.5021177972017,4977.279824798581,False,True
ECU,Ecuador,4378.3784,2414.976549099146,2154.96638829363,41.213450731000194,4268.71932585626,-1317.9245830042614,5627.857359591522,False,True
BIH,Bosnia and Herzegovina,7126.2676,5306.705528143272,5452.463586067488,3225.1909831797225,7679.736188955254,1810.9236035029612,9094.003568632015,True,True
PSE,West Bank and Gaza,922.9372,1844.90838171487,2354.8107011174616,167.44384689837852,4542.177555336544,-1386.4497301089377,6096.071132343861,True,True
BRB,Barbados,1115.5847,3238.0143558586274,3179.587717711772,934.4595882250037,5424.71584719854,-361.17777994110156,6720.353215364645,True,True
THA,Thailand,2082.8452,3189.2166447805444,3162.7051058532343,975.3382516341512,5350.071960072317,-578.555325373165,6903.965537079634,True,True
MDA,Moldova,5433.009,5230.885144198979,5353.882188673228,3108.7540591864595,7599.010318159995,1813.1166910203542,8894.647686326101,True,True
PAN,Panama,1724.4185,1530.4443120080027,1556.410752312745,-688.7173771740231,3801.538881799513,-1984.3547453401284,5097.176249965618,True,True
GEO,Georgia,6951.208,5203.399942862755,4880.989656502978,2705.637854779657,7056.341458226298,1282.6141496085488,8479.365163397406,True,True
KGZ,Kyrgyz Republic,2132.5605,3413.767733514621,4159.580962857145,1972.214108638062,6346.947817076229,418.3205316307458,7900.841394083544,True,True
DZA,Algeria,2952.565,2830.0212264484862,2841.8739069744934,596.7457774877253,5087.002036461261,-698.89159067838,6382.639404627367,True,True
SLV,El Salvador,753.09076,3586.2473336680096,3562.2699336854985,1334.997330797733,5789.542536573264,-79.27004887902831,7203.809916250026,False,True
MNE,Montenegro,5335.1875,5028.393799419825,4734.804098635189,2559.4522969118684,6910.15590035851,1136.42859174076,8333.179605529618,True,True
BLZ,Belize,1799.2277,3008.994219712455,3138.3991915542947,911.1265886665292,5365.67179444206,-503.1407910102321,6779.939174118821,True,True
MYS,Malaysia,1283.0078,2288.189779021345,2207.8795836948643,94.12664613223433,4321.632521257494,-1265.0113876030273,5680.770554992756,True,True
TJK,Tajikistan,1522.2467,3346.3587020166756,4132.380588942142,1945.0137347230589,6319.7474431612245,391.1201577157426,7873.641020168541,False,True
MUS,Mauritius,1459.971,2572.782205304817,2405.5044522337002,218.1375980146172,4592.871306452784,-1335.755978992699,6146.7648834601,True,True
ARM,Armenia,8041.9443,4648.869931154134,4458.014326677029,2282.6625249537087,6633.36612840035,859.6388197826004,8056.389833571458,False,True
