scheme,iso3,flip_rate,modal_profile,country,conversion_profile,modal_equals_baseline
dirichlet_flat,GRC,0.0,uncertain / data-limited systems,Greece,uncertain / data-limited systems,True
dirichlet_flat,GTM,0.02400000000000002,adaptive over-performers,Guatemala,adaptive over-performers,True
dirichlet_flat,HRV,0.052000000000000046,capacity under-realizers,Croatia,capacity under-realizers,True
dirichlet_flat,HUN,0.15200000000000002,capacity under-realizers,Hungary,capacity under-realizers,True
dirichlet_flat,IRL,0.06799999999999995,effective converters,Ireland,effective converters,True
dirichlet_flat,IRN,0.518,structurally vulnerable systems,"Iran, Islamic Rep.",structurally vulnerable systems,True
dirichlet_flat,ISL,0.020000000000000018,effective converters,Iceland,effective converters,True
dirichlet_flat,ISR,0.384,effective converters,Israel,effective converters,True
dirichlet_flat,ITA,0.11199999999999999,capacity under-realizers,Italy,capacity under-realizers,True
dirichlet_flat,JAM,0.04200000000000004,adaptive over-performers,Jamaica,adaptive over-performers,True
dirichlet_flat,JOR,0.0,uncertain / data-limited systems,Jordan,uncertain / data-limited systems,True
dirichlet_flat,JPN,0.014000000000000012,effective converters,Japan,effective converters,True
dirichlet_flat,KAZ,0.43600000000000005,capacity under-realizers,Kazakhstan,capacity under-realizers,True
dirichlet_flat,KGZ,0.10999999999999999,adaptive over-performers,Kyrgyz Republic,adaptive over-performers,True
dirichlet_flat,KNA,0.20799999999999996,structurally vulnerable systems,St. Kitts and Nevis,structurally vulnerable systems,True
dirichlet_flat,KOR,0.382,effective converters,"Korea, Rep.",effective converters,True
dirichlet_flat,KWT,0.23399999999999999,capacity under-realizers,Kuwait,capacity under-realizers,True
dirichlet_flat,LBN,0.062000000000000055,structurally vulnerable systems,Lebanon,structurally vulnerable systems,True
dirichlet_flat,LTU,0.0,uncertain / data-limited systems,Lithuania,uncertain / data-limited systems,True
dirichlet_flat,LUX,0.0040000000000000036,effective converters,Luxembourg,effective converters,True
dirichlet_flat,LVA,0.0,uncertain / data-limited systems,Latvia,uncertain / data-limited systems,True
dirichlet_flat,MDA,0.0,uncertain / data-limited systems,Moldova,uncertain / data-limited systems,True
dirichlet_flat,MDV,0.07199999999999995,capacity under-realizers,Maldives,capacity under-realizers,True
dirichlet_flat,MEX,0.016000000000000014,structurally vulnerable systems,Mexico,structurally vulnerable systems,True
dirichlet_flat,MKD,0.382,structurally vulnerable systems,North Macedonia,structurally vulnerable systems,True
dirichlet_flat,MLT,0.0,uncertain / data-limited systems,Malta,uncertain / data-limited systems,True
dirichlet_flat,MNE,0.0,uncertain / data-limited systems,Montenegro,uncertain / data-limited systems,True
dirichlet_flat,MNG,0.08799999999999997,adaptive over-performers,Mongolia,adaptive over-performers,True
dirichlet_flat,MUS,0.0,uncertain / data-limited systems,Mauritius,uncertain / data-limited systems,True
dirichlet_flat,MYS,0.09799999999999998,adaptive over-performers,Malaysia,adaptive over-performers,True
dirichlet_flat,NAM,0.006000000000000005,adaptive over-performers,Namibia,adaptive over-performers,True
dirichlet_flat,NIC,0.0,uncertain / data-limited systems,Nicaragua,uncertain / data-limited systems,True
dirichlet_flat,NLD,0.08599999999999997,effective converters,Netherlands,effective converters,True
dirichlet_flat,NOR,0.008000000000000007,effective converters,Norway,effective converters,True
dirichlet_flat,NZL,0.008000000000000007,effective converters,New Zealand,effective converters,True
dirichlet_flat,OMN,0.0,uncertain / data-limited systems,Oman,uncertain / data-limited systems,True
dirichlet_flat,PAN,0.406,structurally vulnerable systems,Panama,structurally vulnerable systems,True
dirichlet_flat,PER,0.020000000000000018,structurally vulnerable systems,Peru,structurally vulnerable systems,True
dirichlet_flat,PHL,0.42000000000000004,adaptive over-performers,Philippines,adaptive over-performers,True
dirichlet_flat,POL,0.07399999999999995,capacity under-realizers,Poland,capacity under-realizers,True
dirichlet_flat,PRT,0.07799999999999996,capacity under-realizers,Portugal,capacity under-realizers,True
dirichlet_flat,PRY,0.02200000000000002,structurally vulnerable systems,Paraguay,structurally vulnerable systems,True
dirichlet_flat,PSE,0.248,adaptive over-performers,West Bank and Gaza,adaptive over-performers,True
dirichlet_flat,QAT,0.28800000000000003,capacity under-realizers,Qatar,capacity under-realizers,True
dirichlet_flat,ROU,0.494,capacity under-realizers,Romania,capacity under-realizers,True
dirichlet_flat,RUS,0.0,uncertain / data-limited systems,Russian Federation,uncertain / data-limited systems,True
dirichlet_flat,SGP,0.0,uncertain / data-limited systems,Singapore,uncertain / data-limited systems,True
dirichlet_flat,SLV,0.07999999999999996,adaptive over-performers,El Salvador,adaptive over-performers,True
