model,repeat,fold,n_train,n_test,rmse,mae
random_forest,9,3,85,21,1177.8697089854788,847.3980108068158
random_forest,9,4,85,21,1661.4338164268138,1277.8926813611108
random_forest,10,0,84,22,2017.0517182846127,1564.8080920793566
random_forest,10,1,85,21,1363.518115981369,1039.9716200347855
random_forest,10,2,85,21,1633.4860371918849,1385.5247890688486
random_forest,10,3,85,21,1586.862303170274,1250.432580760194
random_forest,10,4,85,21,1736.007044666591,1315.5807832332814
random_forest,11,0,84,22,1581.7129799766715,1224.7584478027234
random_forest,11,1,85,21,1638.2350658316898,1362.5531639584603
random_forest,11,2,85,21,1741.3365097483704,1371.1961649182483
random_forest,11,3,85,21,1402.8179044364633,1075.2315898917793
random_forest,11,4,85,21,1256.0134684298805,955.7049885573246
random_forest,12,0,84,22,1453.577086483074,1212.9992290979749
random_forest,12,1,85,21,1792.6175437843694,1347.5300825049198
random_forest,12,2,85,21,1977.2725801867557,1586.0077934614626
random_forest,12,3,85,21,1287.4235329661328,991.6120773901864
