iso3,country,life_expectancy_2019,life_expectancy_2020,life_expectancy_loss_2019_2020,life_expectancy_2021,life_expectancy_loss_2019_2021,life_expectancy_2022,life_expectancy_loss_2019_2022,max_life_expectancy_drop_2020_2022,higher_is_worse,source_indicator,source_provenance
MLI,Mali,59.217,58.858,0.35900000000000176,59.116,0.10099999999999909,60.035,-0.8179999999999978,0.35900000000000176,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MLT,Malta,82.6585365853659,82.0975609756098,0.560975609756099,82.2585365853659,0.3999999999999915,82.2975609756098,0.3609756097560961,0.560975609756099,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MMR,Myanmar,66.457,66.612,-0.15500000000000114,65.553,0.9039999999999964,66.506,-0.049000000000006594,0.9039999999999964,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",70.417484585256,69.050634286622,1.3668502986340059,68.9280214782652,1.4894631069908115,71.0055315443397,-0.5880469590836981,1.4894631069908115,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MNE,Montenegro,76.6829268292683,75.9317073170732,0.7512195121950924,73.8243902439024,2.858536585365897,76.1878048780488,0.4951219512195024,2.858536585365897,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MNG,Mongolia,71.0531707317073,71.3490243902439,-0.2958536585366005,71.6451219512195,-0.5919512195121968,71.9007317073171,-0.8475609756098095,-0.2958536585366005,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MNP,Northern Mariana Islands,77.844,78.03,-0.18600000000000705,78.16,-0.3160000000000025,78.531,-0.6870000000000118,-0.18600000000000705,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MOZ,Mozambique,61.306,61.39,-0.08400000000000318,60.268,1.0379999999999967,63.011,-1.7050000000000054,1.0379999999999967,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MRT,Mauritania,67.64,66.794,0.8460000000000036,66.762,0.8780000000000001,68.281,-0.6410000000000053,0.8780000000000001,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MUS,Mauritius,74.2358536585366,74.1770731707317,0.05878048780489564,73.680243902439,0.5556097560975957,73.5146341463415,0.7212195121950913,0.7212195121950913,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MWI,Malawi,64.995,65.216,-0.22099999999998943,64.782,0.21300000000000807,66.037,-1.0420000000000016,0.21300000000000807,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
MYS,Malaysia,75.9,76.057,-0.15699999999999648,73.917,1.983000000000004,75.444,0.45600000000000307,1.983000000000004,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NAC,North America,79.1328897249464,77.4492830759645,1.6836066489818933,76.8590196370959,2.273870087850497,77.8170599153732,1.315829809573188,2.273870087850497,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NAM,Namibia,63.546,64.071,-0.5249999999999986,60.85,2.695999999999998,64.19,-0.6439999999999984,2.695999999999998,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NCL,New Caledonia,77.262,77.049,0.21299999999999386,77.113,0.1490000000000009,77.698,-0.43599999999999284,0.21299999999999386,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NER,Niger,60.031,59.89,0.14099999999999824,59.542,0.4889999999999972,60.398,-0.36700000000000443,0.4889999999999972,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NGA,Nigeria,53.009,53.072,-0.06300000000000239,53.455,-0.44599999999999795,54.079,-1.0700000000000003,-0.06300000000000239,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NIC,Nicaragua,73.764,70.766,2.9979999999999905,70.478,3.2860000000000014,74.463,-0.6989999999999981,3.2860000000000014,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NLD,Netherlands,82.1121951219512,81.3585365853659,0.7536585365853057,81.309756097561,0.8024390243901962,81.6146341463415,0.4975609756097015,0.8024390243901962,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NOR,Norway,82.9585365853659,83.209756097561,-0.2512195121950924,83.1634146341463,-0.20487804878040095,82.509756097561,0.4487804878049104,0.4487804878049104,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NPL,Nepal,69.299,69.106,0.19300000000001205,68.385,0.9140000000000015,70.087,-0.7879999999999967,0.9140000000000015,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NRU,Nauru,61.393,61.527,-0.13400000000000034,61.331,0.06199999999999761,61.93,-0.536999999999999,0.06199999999999761,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
NZL,New Zealand,82.0560975609756,82.2560975609756,-0.20000000000000284,82.2073170731707,-0.1512195121950981,81.9585365853658,0.09756097560979526,0.09756097560979526,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
OED,OECD members,80.2449246601415,78.957862837755,1.2870618223865051,78.5867291925709,1.6581954675706072,79.5170042308814,0.7279204292601094,1.6581954675706072,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
OMN,Oman,79.946,77.763,2.1829999999999927,75.969,3.977000000000004,77.911,2.0349999999999966,3.977000000000004,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
OSS,Other small states,72.6570116424877,72.5097097789427,0.14730186354499608,71.7699719301416,0.8870397123461089,72.9062214171014,-0.24920977461370342,0.8870397123461089,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
PAK,Pakistan,66.729,65.701,1.0280000000000058,65.773,0.9560000000000031,67.417,-0.6880000000000024,1.0280000000000058,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
PAN,Panama,78.514,76.33,2.1839999999999975,77.004,1.509999999999991,79.324,-0.8100000000000023,2.1839999999999975,True,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022
