iso3,country,model_version,observed_shock_burden,predicted_shock_burden,residual_observed_minus_expected,n_model_sample,n_candidate_validation_countries,missing_count_due_to_model_covariates,missing_rate_due_to_model_covariates,cv_rmse,prediction_interval_low,prediction_interval_high
BIH,Bosnia and Herzegovina,ridge,7126.2676,5583.958279612745,1542.309320387255,106,108,2,0.01851851851851849,1764.982016555163,4722.423664385325,6289.841911881929
PSE,West Bank and Gaza,ridge,922.9372,1573.9010525240276,-650.9638525240276,106,108,2,0.01851851851851849,1764.982016555163,913.1604065686537,2564.3498205453375
BRB,Barbados,ridge,1115.5847,2970.173280064269,-1854.5885800642689,106,108,2,0.01851851851851849,1764.982016555163,2157.499291914214,3921.7788627526957
THA,Thailand,ridge,2082.8452,3096.455734564207,-1013.6105345642068,106,108,2,0.01851851851851849,1764.982016555163,2506.257295350841,3643.0901775995317
MDA,Moldova,ridge,5433.009,5254.079734261424,178.92926573857585,106,108,2,0.01851851851851849,1764.982016555163,4369.177538353331,6108.425764594906
PAN,Panama,ridge,1724.4185,1528.640239910675,195.77826008932493,106,108,2,0.01851851851851849,1764.982016555163,716.8421865671064,2265.5958667989735
GEO,Georgia,ridge,6951.208,5343.492326576265,1607.7156734237342,106,108,2,0.01851851851851849,1764.982016555163,4509.180962482186,6077.296010478595
KGZ,Kyrgyz Republic,ridge,2132.5605,3144.567183680011,-1012.0066836800111,106,108,2,0.01851851851851849,1764.982016555163,2502.978011166275,4169.908784127933
DZA,Algeria,ridge,2952.565,2911.11908419295,41.445915807049914,106,108,2,0.01851851851851849,1764.982016555163,2165.865110917611,3560.5527565692564
SLV,El Salvador,ridge,753.09076,3357.5152904910974,-2604.4245304910974,106,108,2,0.01851851851851849,1764.982016555163,2526.9600920995044,4454.57598519579
MNE,Montenegro,ridge,5335.1875,5149.540702066335,185.64679793366486,106,108,2,0.01851851851851849,1764.982016555163,4415.264844509478,5859.042177230878
BLZ,Belize,ridge,1799.2277,2882.045701885422,-1082.8180018854223,106,108,2,0.01851851851851849,1764.982016555163,2148.2047774317084,3641.4881139948034
MYS,Malaysia,ridge,1283.0078,2264.770533286546,-981.7627332865461,106,108,2,0.01851851851851849,1764.982016555163,1680.4019411629843,2841.5929799951455
TJK,Tajikistan,ridge,1522.2467,2925.5015212413914,-1403.2548212413915,106,108,2,0.01851851851851849,1764.982016555163,2179.614419796443,4292.7459838527875
MUS,Mauritius,ridge,1459.971,2412.5013362971295,-952.5303362971295,106,108,2,0.01851851851851849,1764.982016555163,1861.383714099649,3162.1766694058224
ARM,Armenia,ridge,8041.9443,4910.701944743561,3131.2423552564387,106,108,2,0.01851851851851849,1764.982016555163,4078.732598119247,5556.225241124012
