iso3,country,profile,profile_probability,n_bootstrap,coverage_count,missing_count,missing_rate
SRB,Serbia,uncertain / data-limited systems,1.0,1000,106,0,0.0
MKD,North Macedonia,effective converters,0.0,1000,106,0,0.0
MKD,North Macedonia,capacity under-realizers,0.0,1000,106,0,0.0
MKD,North Macedonia,adaptive over-performers,0.0,1000,106,0,0.0
MKD,North Macedonia,structurally vulnerable systems,1.0,1000,106,0,0.0
MKD,North Macedonia,uncertain / data-limited systems,0.0,1000,106,0,0.0
CYP,Cyprus,effective converters,0.0,1000,106,0,0.0
CYP,Cyprus,capacity under-realizers,0.0,1000,106,0,0.0
CYP,Cyprus,adaptive over-performers,0.971,1000,106,0,0.0
CYP,Cyprus,structurally vulnerable systems,0.029,1000,106,0,0.0
CYP,Cyprus,uncertain / data-limited systems,0.0,1000,106,0,0.0
BGR,Bulgaria,effective converters,0.0,1000,106,0,0.0
BGR,Bulgaria,capacity under-realizers,0.0,1000,106,0,0.0
BGR,Bulgaria,adaptive over-performers,0.0,1000,106,0,0.0
BGR,Bulgaria,structurally vulnerable systems,0.0,1000,106,0,0.0
BGR,Bulgaria,uncertain / data-limited systems,1.0,1000,106,0,0.0
SGP,Singapore,effective converters,0.0,1000,106,0,0.0
SGP,Singapore,capacity under-realizers,0.0,1000,106,0,0.0
SGP,Singapore,adaptive over-performers,0.0,1000,106,0,0.0
SGP,Singapore,structurally vulnerable systems,0.0,1000,106,0,0.0
SGP,Singapore,uncertain / data-limited systems,1.0,1000,106,0,0.0
LVA,Latvia,effective converters,0.0,1000,106,0,0.0
LVA,Latvia,capacity under-realizers,0.0,1000,106,0,0.0
LVA,Latvia,adaptive over-performers,0.0,1000,106,0,0.0
LVA,Latvia,structurally vulnerable systems,0.0,1000,106,0,0.0
LVA,Latvia,uncertain / data-limited systems,1.0,1000,106,0,0.0
JOR,Jordan,effective converters,0.0,1000,106,0,0.0
JOR,Jordan,capacity under-realizers,0.0,1000,106,0,0.0
JOR,Jordan,adaptive over-performers,0.0,1000,106,0,0.0
JOR,Jordan,structurally vulnerable systems,0.0,1000,106,0,0.0
JOR,Jordan,uncertain / data-limited systems,1.0,1000,106,0,0.0
NIC,Nicaragua,effective converters,0.0,1000,106,0,0.0
NIC,Nicaragua,capacity under-realizers,0.0,1000,106,0,0.0
NIC,Nicaragua,adaptive over-performers,0.0,1000,106,0,0.0
NIC,Nicaragua,structurally vulnerable systems,0.0,1000,106,0,0.0
NIC,Nicaragua,uncertain / data-limited systems,1.0,1000,106,0,0.0
TUN,Tunisia,effective converters,0.0,1000,106,0,0.0
TUN,Tunisia,capacity under-realizers,0.0,1000,106,0,0.0
TUN,Tunisia,adaptive over-performers,0.006,1000,106,0,0.0
TUN,Tunisia,structurally vulnerable systems,0.994,1000,106,0,0.0
TUN,Tunisia,uncertain / data-limited systems,0.0,1000,106,0,0.0
IRN,"Iran, Islamic Rep.",effective converters,0.0,1000,106,0,0.0
IRN,"Iran, Islamic Rep.",capacity under-realizers,0.0,1000,106,0,0.0
IRN,"Iran, Islamic Rep.",adaptive over-performers,0.155,1000,106,0,0.0
IRN,"Iran, Islamic Rep.",structurally vulnerable systems,0.845,1000,106,0,0.0
IRN,"Iran, Islamic Rep.",uncertain / data-limited systems,0.0,1000,106,0,0.0
VCT,St. Vincent and the Grenadines,effective converters,0.0,1000,106,0,0.0
VCT,St. Vincent and the Grenadines,capacity under-realizers,0.0,1000,106,0,0.0
VCT,St. Vincent and the Grenadines,adaptive over-performers,1.0,1000,106,0,0.0
VCT,St. Vincent and the Grenadines,structurally vulnerable systems,0.0,1000,106,0,0.0
VCT,St. Vincent and the Grenadines,uncertain / data-limited systems,0.0,1000,106,0,0.0
ALB,Albania,effective converters,0.0,1000,106,0,0.0
ALB,Albania,capacity under-realizers,0.0,1000,106,0,0.0
ALB,Albania,adaptive over-performers,0.0,1000,106,0,0.0
ALB,Albania,structurally vulnerable systems,1.0,1000,106,0,0.0
ALB,Albania,uncertain / data-limited systems,0.0,1000,106,0,0.0
UZB,Uzbekistan,effective converters,0.0,1000,106,0,0.0
UZB,Uzbekistan,capacity under-realizers,0.0,1000,106,0,0.0
UZB,Uzbekistan,adaptive over-performers,1.0,1000,106,0,0.0
UZB,Uzbekistan,structurally vulnerable systems,0.0,1000,106,0,0.0
UZB,Uzbekistan,uncertain / data-limited systems,0.0,1000,106,0,0.0
KNA,St. Kitts and Nevis,effective converters,0.0,1000,106,0,0.0
KNA,St. Kitts and Nevis,capacity under-realizers,0.0,1000,106,0,0.0
KNA,St. Kitts and Nevis,adaptive over-performers,0.0,1000,106,0,0.0
KNA,St. Kitts and Nevis,structurally vulnerable systems,1.0,1000,106,0,0.0
KNA,St. Kitts and Nevis,uncertain / data-limited systems,0.0,1000,106,0,0.0
ECU,Ecuador,effective converters,0.0,1000,106,0,0.0
ECU,Ecuador,capacity under-realizers,0.0,1000,106,0,0.0
ECU,Ecuador,adaptive over-performers,0.0,1000,106,0,0.0
ECU,Ecuador,structurally vulnerable systems,1.0,1000,106,0,0.0
ECU,Ecuador,uncertain / data-limited systems,0.0,1000,106,0,0.0
BIH,Bosnia and Herzegovina,effective converters,0.0,1000,106,0,0.0
BIH,Bosnia and Herzegovina,capacity under-realizers,0.0,1000,106,0,0.0
BIH,Bosnia and Herzegovina,adaptive over-performers,0.0,1000,106,0,0.0
BIH,Bosnia and Herzegovina,structurally vulnerable systems,1.0,1000,106,0,0.0
BIH,Bosnia and Herzegovina,uncertain / data-limited systems,0.0,1000,106,0,0.0
PSE,West Bank and Gaza,effective converters,0.0,1000,106,0,0.0
PSE,West Bank and Gaza,capacity under-realizers,0.0,1000,106,0,0.0
PSE,West Bank and Gaza,adaptive over-performers,0.96,1000,106,0,0.0
PSE,West Bank and Gaza,structurally vulnerable systems,0.04,1000,106,0,0.0
PSE,West Bank and Gaza,uncertain / data-limited systems,0.0,1000,106,0,0.0
BRB,Barbados,effective converters,0.0,1000,106,0,0.0
BRB,Barbados,capacity under-realizers,0.0,1000,106,0,0.0
BRB,Barbados,adaptive over-performers,1.0,1000,106,0,0.0
BRB,Barbados,structurally vulnerable systems,0.0,1000,106,0,0.0
BRB,Barbados,uncertain / data-limited systems,0.0,1000,106,0,0.0
THA,Thailand,effective converters,0.0,1000,106,0,0.0
THA,Thailand,capacity under-realizers,0.0,1000,106,0,0.0
THA,Thailand,adaptive over-performers,0.0,1000,106,0,0.0
THA,Thailand,structurally vulnerable systems,0.0,1000,106,0,0.0
THA,Thailand,uncertain / data-limited systems,1.0,1000,106,0,0.0
MDA,Moldova,effective converters,0.0,1000,106,0,0.0
MDA,Moldova,capacity under-realizers,0.0,1000,106,0,0.0
MDA,Moldova,adaptive over-performers,0.0,1000,106,0,0.0
MDA,Moldova,structurally vulnerable systems,0.0,1000,106,0,0.0
MDA,Moldova,uncertain / data-limited systems,1.0,1000,106,0,0.0
PAN,Panama,effective converters,0.0,1000,106,0,0.0
PAN,Panama,capacity under-realizers,0.0,1000,106,0,0.0
PAN,Panama,adaptive over-performers,0.318,1000,106,0,0.0
PAN,Panama,structurally vulnerable systems,0.682,1000,106,0,0.0
PAN,Panama,uncertain / data-limited systems,0.0,1000,106,0,0.0
GEO,Georgia,effective converters,0.0,1000,106,0,0.0
GEO,Georgia,capacity under-realizers,0.0,1000,106,0,0.0
GEO,Georgia,adaptive over-performers,0.0,1000,106,0,0.0
GEO,Georgia,structurally vulnerable systems,0.0,1000,106,0,0.0
GEO,Georgia,uncertain / data-limited systems,1.0,1000,106,0,0.0
KGZ,Kyrgyz Republic,effective converters,0.0,1000,106,0,0.0
KGZ,Kyrgyz Republic,capacity under-realizers,0.0,1000,106,0,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,1.0,1000,106,0,0.0
KGZ,Kyrgyz Republic,structurally vulnerable systems,0.0,1000,106,0,0.0
KGZ,Kyrgyz Republic,uncertain / data-limited systems,0.0,1000,106,0,0.0
DZA,Algeria,effective converters,0.0,1000,106,0,0.0
DZA,Algeria,capacity under-realizers,0.0,1000,106,0,0.0
DZA,Algeria,adaptive over-performers,0.443,1000,106,0,0.0
DZA,Algeria,structurally vulnerable systems,0.557,1000,106,0,0.0
DZA,Algeria,uncertain / data-limited systems,0.0,1000,106,0,0.0
SLV,El Salvador,effective converters,0.0,1000,106,0,0.0
SLV,El Salvador,capacity under-realizers,0.0,1000,106,0,0.0
SLV,El Salvador,adaptive over-performers,1.0,1000,106,0,0.0
SLV,El Salvador,structurally vulnerable systems,0.0,1000,106,0,0.0
SLV,El Salvador,uncertain / data-limited systems,0.0,1000,106,0,0.0
MNE,Montenegro,effective converters,0.0,1000,106,0,0.0
