iso3,country,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,gap_interpretation,prediction_interval_low,prediction_interval_high,n_validation_countries,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
PAN,Panama,1724.4185,1528.640239910675,195.77826008932493,worse-than-expected shock burden / capacity under-realization,716.8421865671064,2265.5958667989735,106,87,0.4507772020725389
GEO,Georgia,6951.208,5343.492326576265,1607.7156734237342,worse-than-expected shock burden / capacity under-realization,4509.180962482186,6077.296010478595,106,87,0.4507772020725389
KGZ,Kyrgyz Republic,2132.5605,3144.567183680011,-1012.0066836800111,better-than-expected shock burden / adaptive over-performance,2502.978011166275,4169.908784127933,106,87,0.4507772020725389
DZA,Algeria,2952.565,2911.11908419295,41.445915807049914,worse-than-expected shock burden / capacity under-realization,2165.865110917611,3560.5527565692564,106,87,0.4507772020725389
SLV,El Salvador,753.09076,3357.5152904910974,-2604.4245304910974,better-than-expected shock burden / adaptive over-performance,2526.9600920995044,4454.57598519579,106,87,0.4507772020725389
MNE,Montenegro,5335.1875,5149.540702066335,185.64679793366486,worse-than-expected shock burden / capacity under-realization,4415.264844509478,5859.042177230878,106,87,0.4507772020725389
BLZ,Belize,1799.2277,2882.045701885422,-1082.8180018854223,better-than-expected shock burden / adaptive over-performance,2148.2047774317084,3641.4881139948034,106,87,0.4507772020725389
MYS,Malaysia,1283.0078,2264.770533286546,-981.7627332865461,better-than-expected shock burden / adaptive over-performance,1680.4019411629843,2841.5929799951455,106,87,0.4507772020725389
TJK,Tajikistan,1522.2467,2925.5015212413914,-1403.2548212413915,better-than-expected shock burden / adaptive over-performance,2179.614419796443,4292.7459838527875,106,87,0.4507772020725389
MUS,Mauritius,1459.971,2412.5013362971295,-952.5303362971295,better-than-expected shock burden / adaptive over-performance,1861.383714099649,3162.1766694058224,106,87,0.4507772020725389
ARM,Armenia,8041.9443,4910.701944743561,3131.2423552564387,worse-than-expected shock burden / capacity under-realization,4078.732598119247,5556.225241124012,106,87,0.4507772020725389
MEX,Mexico,5406.9375,3017.5292582103425,2389.4082417896575,worse-than-expected shock burden / capacity under-realization,2351.833647836383,3599.367563285318,106,87,0.4507772020725389
BHS,"Bahamas, The",2630.4177,3164.1509405200522,-533.7332405200523,better-than-expected shock burden / adaptive over-performance,2415.9878607524392,4193.926821877618,106,87,0.4507772020725389
BTN,Bhutan,302.12527,1829.5218735077842,-1527.3966035077842,better-than-expected shock burden / adaptive over-performance,1205.0631041986906,2735.2452265242496,106,87,0.4507772020725389
JAM,Jamaica,2040.6863,3130.6037995752968,-1089.9174995752967,better-than-expected shock burden / adaptive over-performance,2394.705250200885,3902.1910883640944,106,87,0.4507772020725389
LBN,Lebanon,2354.6365,1869.6268118259516,485.0096881740485,worse-than-expected shock burden / capacity under-realization,1337.9801614507,2501.1118453328427,106,87,0.4507772020725389
PRY,Paraguay,4178.656,3113.909273794001,1064.746726205999,worse-than-expected shock burden / capacity under-realization,2409.6955253809474,3789.327574467366,106,87,0.4507772020725389
FJI,Fiji,2112.3386,3713.7046679833056,-1601.3660679833056,better-than-expected shock burden / adaptive over-performance,2721.8096833041855,5116.9916130860565,106,87,0.4507772020725389
PER,Peru,5901.3433,3649.5150617570553,2251.828238242945,worse-than-expected shock burden / capacity under-realization,3027.222896126331,4358.19726831669,106,87,0.4507772020725389
CPV,Cabo Verde,1312.6262,2478.3507868367083,-1165.7245868367083,better-than-expected shock burden / adaptive over-performance,1909.005094002987,3315.9920994420354,106,87,0.4507772020725389
MNG,Mongolia,211.21863,4120.190967719567,-3908.9723377195673,better-than-expected shock burden / adaptive over-performance,2816.648845076735,5965.838449921517,106,87,0.4507772020725389
SUR,Suriname,3481.618,4238.093177757436,-756.4751777574361,better-than-expected shock burden / adaptive over-performance,3259.995752434926,5668.2392348772655,106,87,0.4507772020725389
EGY,"Egypt, Arab Rep.",2995.015,2595.8350728984283,399.1799271015716,worse-than-expected shock burden / capacity under-realization,1949.9084149061066,3526.494728564635,106,87,0.4507772020725389
AZE,Azerbaijan,3777.4768,4120.190379172456,-342.7135791724563,better-than-expected shock burden / adaptive over-performance,3299.22323886309,4724.291740751017,106,87,0.4507772020725389
UKR,Ukraine,4533.1055,6272.766737364015,-1739.6612373640155,better-than-expected shock burden / adaptive over-performance,5255.828095401404,7282.3199433405025,106,87,0.4507772020725389
DOM,Dominican Republic,907.20123,3329.837518104242,-2422.636288104242,better-than-expected shock burden / adaptive over-performance,2613.1239510850087,4023.0274148070002,106,87,0.4507772020725389
BOL,Bolivia,5224.8447,3094.1509060260496,2130.69379397395,worse-than-expected shock burden / capacity under-realization,2346.6999577553565,4245.348730940954,106,87,0.4507772020725389
GTM,Guatemala,2760.5828,3286.391314642447,-525.8085146424469,better-than-expected shock burden / adaptive over-performance,2542.185857528667,4001.6738239055167,106,87,0.4507772020725389
PHL,Philippines,2245.3413,2673.130806366826,-427.7895063668261,better-than-expected shock burden / adaptive over-performance,1975.4314435222032,3743.9698349917926,106,87,0.4507772020725389
ZAF,South Africa,4671.983,4483.8626840220295,188.12031597797068,worse-than-expected shock burden / capacity under-realization,3409.398502733498,6307.991399756934,106,87,0.4507772020725389
NAM,Namibia,1225.8562,3815.9162596472643,-2590.060059647264,better-than-expected shock burden / adaptive over-performance,2402.9727741430406,6318.093501356698,106,87,0.4507772020725389
