iso3,country,bottleneck_block,bottleneck_probability,n_simulations,coverage_count,missing_count,missing_rate
SYC,Seychelles,preparedness,0.0,1000,106,0,0.0
SYC,Seychelles,vulnerability,0.0,1000,106,0,0.0
SYC,Seychelles,equity_access,0.0,1000,106,0,0.0
RUS,Russian Federation,capacity,0.417,1000,106,0,0.0
RUS,Russian Federation,preparedness,0.0,1000,106,0,0.0
RUS,Russian Federation,vulnerability,0.583,1000,106,0,0.0
RUS,Russian Federation,equity_access,0.0,1000,106,0,0.0
CHL,Chile,capacity,1.0,1000,106,0,0.0
CHL,Chile,preparedness,0.0,1000,106,0,0.0
CHL,Chile,vulnerability,0.0,1000,106,0,0.0
CHL,Chile,equity_access,0.0,1000,106,0,0.0
TUR,Turkiye,capacity,1.0,1000,106,0,0.0
TUR,Turkiye,preparedness,0.0,1000,106,0,0.0
TUR,Turkiye,vulnerability,0.0,1000,106,0,0.0
TUR,Turkiye,equity_access,0.0,1000,106,0,0.0
BRA,Brazil,capacity,1.0,1000,106,0,0.0
BRA,Brazil,preparedness,0.0,1000,106,0,0.0
BRA,Brazil,vulnerability,0.0,1000,106,0,0.0
BRA,Brazil,equity_access,0.0,1000,106,0,0.0
SRB,Serbia,capacity,0.966,1000,106,0,0.0
SRB,Serbia,preparedness,0.0,1000,106,0,0.0
SRB,Serbia,vulnerability,0.028,1000,106,0,0.0
SRB,Serbia,equity_access,0.006,1000,106,0,0.0
MKD,North Macedonia,capacity,1.0,1000,106,0,0.0
MKD,North Macedonia,preparedness,0.0,1000,106,0,0.0
MKD,North Macedonia,vulnerability,0.0,1000,106,0,0.0
MKD,North Macedonia,equity_access,0.0,1000,106,0,0.0
CYP,Cyprus,capacity,1.0,1000,106,0,0.0
CYP,Cyprus,preparedness,0.0,1000,106,0,0.0
CYP,Cyprus,vulnerability,0.0,1000,106,0,0.0
CYP,Cyprus,equity_access,0.0,1000,106,0,0.0
BGR,Bulgaria,capacity,0.414,1000,106,0,0.0
BGR,Bulgaria,preparedness,0.0,1000,106,0,0.0
BGR,Bulgaria,vulnerability,0.54,1000,106,0,0.0
BGR,Bulgaria,equity_access,0.046,1000,106,0,0.0
SGP,Singapore,capacity,1.0,1000,106,0,0.0
