iso3,country,conversion_profile,peer_group_type,peer_group_value,block,country_block_score,peer_median_block_score,block_gap_country_minus_peer,negative_gap_is_bottleneck,n_peer_countries,n_validation_countries,expanded_feature_missing_rate
CPV,Cabo Verde,adaptive over-performers,same_income_group,Upper middle income,equity_access,0.6884584229843812,0.729348274020286,-0.04088985103590481,True,37,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_region,Sub-Saharan Africa ,equity_access,0.6884584229843812,0.6884584229843812,0.0,True,5,106,0.0
CPV,Cabo Verde,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,equity_access,0.6884584229843812,0.7061315471456461,-0.017673124161264875,True,27,106,0.0
JAM,Jamaica,adaptive over-performers,same_income_group,Upper middle income,capacity,0.2282760912104227,0.3467191820439355,-0.11844309083351279,True,37,106,0.0
JAM,Jamaica,adaptive over-performers,same_region,Latin America & Caribbean ,capacity,0.2282760912104227,0.3548721191849168,-0.1265960279744941,True,24,106,0.0
JAM,Jamaica,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,capacity,0.2282760912104227,0.2638600782104646,-0.035583987000041895,True,27,106,0.0
JAM,Jamaica,adaptive over-performers,same_income_group,Upper middle income,preparedness,0.8809742637247908,0.8513215977301716,0.029652665994619243,True,37,106,0.0
JAM,Jamaica,adaptive over-performers,same_region,Latin America & Caribbean ,preparedness,0.8809742637247908,0.8582841003558341,0.022690163368956684,True,24,106,0.0
JAM,Jamaica,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,preparedness,0.8809742637247908,0.8258192258773593,0.055155037847431476,True,27,106,0.0
JAM,Jamaica,adaptive over-performers,same_income_group,Upper middle income,vulnerability,0.6509635969585903,0.681467035750128,-0.030503438791537718,True,37,106,0.0
JAM,Jamaica,adaptive over-performers,same_region,Latin America & Caribbean ,vulnerability,0.6509635969585903,0.698661570294468,-0.047697973335877664,True,24,106,0.0
JAM,Jamaica,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,vulnerability,0.6509635969585903,0.6415149075582738,0.009448689400316512,True,27,106,0.0
JAM,Jamaica,adaptive over-performers,same_income_group,Upper middle income,equity_access,0.7344155504883616,0.729348274020286,0.005067276468075588,True,37,106,0.0
JAM,Jamaica,adaptive over-performers,same_region,Latin America & Caribbean ,equity_access,0.7344155504883616,0.7295479798583733,0.004867570629988327,True,24,106,0.0
JAM,Jamaica,adaptive over-performers,same_capacity_quartile,Q1_low_capacity,equity_access,0.7344155504883616,0.7061315471456461,0.028284003342715525,True,27,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_income_group,Lower middle income,capacity,0.3317152029949079,0.3138518481233711,0.01786335487153684,True,13,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_region,Europe & Central Asia,capacity,0.3317152029949079,0.592121438040106,-0.26040623504519805,True,49,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_capacity_quartile,Q2,capacity,0.3317152029949079,0.3898693093215164,-0.0581541063266085,True,26,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_income_group,Lower middle income,preparedness,0.8719689879667554,0.9214354407742822,-0.04946645280752682,True,13,106,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,same_region,Europe & Central Asia,preparedness,0.8719689879667554,0.9240148867420244,-0.052045898775268995,True,49,106,0.0
