iso3,country,region,income_group,score,rank,ranking_method,weighting_method,normalization_method,imputation_method,feature_missing_count,feature_missing_rate,n_countries_in_sample,n_indicators
VUT,Vanuatu,East Asia & Pacific,Lower middle income,0.5389609944423879,118,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.538325637510219,119,marcos,critic,robust_minmax,knn,0,0.0,193,15
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,0.5380369224247811,120,marcos,critic,robust_minmax,knn,0,0.0,193,15
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,0.5301556355270189,121,marcos,critic,robust_minmax,knn,0,0.0,193,15
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,0.530154318616142,122,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
WSM,Samoa,East Asia & Pacific,Upper middle income,0.5270636842487598,123,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,0.5164643500099618,124,marcos,critic,robust_minmax,knn,0,0.0,193,15
LKA,Sri Lanka,South Asia,Lower middle income,0.5151027206137911,125,marcos,critic,robust_minmax,knn,0,0.0,193,15
VNM,Viet Nam,East Asia & Pacific,Lower middle income,0.5070528203352005,126,marcos,critic,robust_minmax,knn,0,0.0,193,15
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.5048803820025701,127,marcos,critic,robust_minmax,knn,0,0.0,193,15
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,0.502888485673651,128,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,0.49830590572673406,129,marcos,critic,robust_minmax,knn,0,0.0,193,15
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,0.4845214001981671,130,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
GRD,Grenada,Latin America & Caribbean ,Upper middle income,0.4835948721674638,131,marcos,critic,robust_minmax,knn,0,0.0,193,15
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,0.4824101829857799,132,marcos,critic,robust_minmax,knn,0,0.0,193,15
BRB,Barbados,Latin America & Caribbean ,High income,0.4762814058826396,133,marcos,critic,robust_minmax,knn,0,0.0,193,15
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.4707557288423614,134,marcos,critic,robust_minmax,knn,0,0.0,193,15
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,0.4499821416768995,135,marcos,critic,robust_minmax,knn,0,0.0,193,15
IDN,Indonesia,East Asia & Pacific,Upper middle income,0.440588111794684,136,marcos,critic,robust_minmax,knn,0,0.0,193,15
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,0.4336967908289882,137,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,0.4246948258181261,138,marcos,critic,robust_minmax,knn,0,0.0,193,15
UKR,Ukraine,Europe & Central Asia,Upper middle income,0.42288756659838256,139,marcos,critic,robust_minmax,knn,2,0.1333333333333333,193,15
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,0.42281957423883054,140,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
ERI,Eritrea,Sub-Saharan Africa ,Low income,0.4211800550896428,141,marcos,critic,robust_minmax,knn,0,0.0,193,15
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,0.4194069087178586,142,marcos,critic,robust_minmax,knn,0,0.0,193,15
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,0.41796559986346826,143,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,0.41537744372715996,144,marcos,critic,robust_minmax,knn,0,0.0,193,15
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,0.4081035882664827,145,marcos,critic,robust_minmax,knn,0,0.0,193,15
KHM,Cambodia,East Asia & Pacific,Lower middle income,0.4058468232375952,146,marcos,critic,robust_minmax,knn,0,0.0,193,15
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,0.39969907616993355,147,marcos,critic,robust_minmax,knn,0,0.0,193,15
LAO,Lao PDR,East Asia & Pacific,Lower middle income,0.39812403541572144,148,marcos,critic,robust_minmax,knn,0,0.0,193,15
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,0.3981111124652985,149,marcos,critic,robust_minmax,knn,0,0.0,193,15
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,0.3881763426365737,150,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
PHL,Philippines,East Asia & Pacific,Lower middle income,0.38468228046704367,151,marcos,critic,robust_minmax,knn,0,0.0,193,15
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,0.38362612088341047,152,marcos,critic,robust_minmax,knn,0,0.0,193,15
MWI,Malawi,Sub-Saharan Africa ,Low income,0.37476867630185723,153,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
RWA,Rwanda,Sub-Saharan Africa ,Low income,0.37367822108642634,154,marcos,critic,robust_minmax,knn,0,0.0,193,15
SDN,Sudan,Sub-Saharan Africa ,Low income,0.3712988350856525,155,marcos,critic,robust_minmax,knn,0,0.0,193,15
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.3649729169353833,156,marcos,critic,robust_minmax,knn,0,0.0,193,15
NPL,Nepal,South Asia,Lower middle income,0.3587568468908986,157,marcos,critic,robust_minmax,knn,0,0.0,193,15
MOZ,Mozambique,Sub-Saharan Africa ,Low income,0.3557963765360201,158,marcos,critic,robust_minmax,knn,0,0.0,193,15
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.354643151025087,159,marcos,critic,robust_minmax,knn,2,0.1333333333333333,193,15
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,0.3384052826489499,160,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,0.3368813676271198,161,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
UGA,Uganda,Sub-Saharan Africa ,Low income,0.32814931937231734,162,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
MMR,Myanmar,East Asia & Pacific,Lower middle income,0.32076984543406856,163,marcos,critic,robust_minmax,knn,0,0.0,193,15
IND,India,South Asia,Lower middle income,0.3200717863955604,164,marcos,critic,robust_minmax,knn,0,0.0,193,15
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,0.30137795963102804,165,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,0.296036697918031,166,marcos,critic,robust_minmax,knn,0,0.0,193,15
BDI,Burundi,Sub-Saharan Africa ,Low income,0.2911959180000953,167,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
NER,Niger,Sub-Saharan Africa ,Low income,0.27847499912338886,168,marcos,critic,robust_minmax,knn,0,0.0,193,15
MDG,Madagascar,Sub-Saharan Africa ,Low income,0.2654874432605318,169,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,0.2576457127181376,170,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
BGD,Bangladesh,South Asia,Lower middle income,0.2572495311154542,171,marcos,critic,robust_minmax,knn,0,0.0,193,15
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.24575788367354165,172,marcos,critic,robust_minmax,knn,0,0.0,193,15
MLI,Mali,Sub-Saharan Africa ,Low income,0.2422078366124987,173,marcos,critic,robust_minmax,knn,0,0.0,193,15
AGO,Angola,Sub-Saharan Africa ,Lower middle income,0.23300385366640053,174,marcos,critic,robust_minmax,knn,0,0.0,193,15
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,0.23092388502090733,175,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,0.2256931154901535,176,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
LBR,Liberia,Sub-Saharan Africa ,Low income,0.22151201566641926,177,marcos,critic,robust_minmax,knn,0,0.0,193,15
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income,0.2196076097366792,178,marcos,critic,robust_minmax,knn,2,0.1333333333333333,193,15
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,0.2147835640598488,179,marcos,critic,robust_minmax,knn,0,0.0,193,15
COM,Comoros,Sub-Saharan Africa ,Lower middle income,0.19285728998435653,180,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,0.1917084226827182,181,marcos,critic,robust_minmax,knn,0,0.0,193,15
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,0.18328624945672825,182,marcos,critic,robust_minmax,knn,1,0.0666666666666666,193,15
TGO,Togo,Sub-Saharan Africa ,Low income,0.17781706900664365,183,marcos,critic,robust_minmax,knn,0,0.0,193,15
