iso3,country,conversion_profile,conversion_efficiency_zscore,realized_resilience_gap,main_bottleneck_block,evidence_variant,n,coverage_count,missing_count,missing_rate,source_provenance
KGZ,Kyrgyz Republic,adaptive over-performers,0.6296783426338252,-1012.0066836800112,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
MYS,Malaysia,adaptive over-performers,0.6108603240717282,-981.762733286546,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
CYP,Cyprus,adaptive over-performers,0.5805364866265778,-933.0268564244698,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
SUR,Suriname,adaptive over-performers,0.4706846741780459,-756.4751777574361,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
PSE,West Bank and Gaza,adaptive over-performers,0.4050347160567432,-650.9638525240276,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
BHS,"Bahamas, The",adaptive over-performers,0.3320929275655985,-533.7332405200523,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
GTM,Guatemala,adaptive over-performers,0.3271621021699673,-525.8085146424469,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
PHL,Philippines,adaptive over-performers,0.2661739212884271,-427.7895063668261,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
AZE,Azerbaijan,adaptive over-performers,0.213239025009891,-342.7135791724563,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
EST,Estonia,capacity under-realizers,0.6283931730001282,-1009.9411842481522,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
PRT,Portugal,capacity under-realizers,0.4586448090368129,-737.124942615842,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
GBR,United Kingdom,capacity under-realizers,0.2436217840916513,-391.5441537333818,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ESP,Spain,capacity under-realizers,0.2221367546696926,-357.0138357886085,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
SVN,Slovenia,capacity under-realizers,0.1540796570156834,-247.6338031045675,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
AUT,Austria,capacity under-realizers,0.1233611947811609,-198.263693019986,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
HUN,Hungary,capacity under-realizers,0.0873593196737647,-140.40218537895635,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
KAZ,Kazakhstan,capacity under-realizers,-0.0986913164584361,158.61474837986862,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ITA,Italy,capacity under-realizers,-0.184799946246096,297.00684950111554,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
QAT,Qatar,capacity under-realizers,-0.4525986143987932,727.4076171653402,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
CHL,Chile,capacity under-realizers,-0.4843600852495627,778.4540302435466,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
POL,Poland,capacity under-realizers,-0.4849502246418017,779.4024907015491,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ARE,United Arab Emirates,capacity under-realizers,-0.5549371955598688,891.8841778489033,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
ARG,Argentina,capacity under-realizers,-0.5607786651550956,901.2724732254856,preparedness,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
CZE,Czechia,capacity under-realizers,-0.6262960857776176,1006.5707867900423,vulnerability,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
MDV,Maldives,capacity under-realizers,-0.67968481209664,1092.376100725436,equity_access,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
KWT,Kuwait,capacity under-realizers,-0.7687710647710952,1235.5537789562768,capacity,baseline_owid_excess_mortality,106,106,0,0.0,results/tables/conversion_profiles.csv;results/tables/conversion_bottleneck_scores.csv
