iso3,country,region,income_group,potential_capacity_score,potential_capacity_rank_point,median_potential_capacity_rank,potential_rank_p05,potential_rank_p95,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,capacity_score,preparedness_score,vulnerability_score,equity_access_score,expanded_feature_missing_count,expanded_feature_missing_rate,n_valid_pipelines,n_countries_in_sample,n_indicators
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,0.6686025330658762,77,75.0,60.95,93.0,0.0,0.0,0.1669270833333333,0.4119113055278265,0.9405649421131524,0.6146409081395038,0.7072929764830225,1,0.0384615384615384,60,193,26
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,0.6647839475886296,78,67.0,57.9,79.05,0.0,0.0,0.11015625,0.4175374788716006,0.942039817022099,0.6969060044676371,0.6026524899931812,2,0.0769230769230769,60,193,26
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,0.664199875526843,79,77.5,59.55,87.05,0.0166666666666666,0.0,0.1432291666666666,0.3467191820439355,0.7721230764365231,0.7681359992125998,0.7698212444143137,0,0.0,60,193,26
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,0.6623497621693846,80,68.5,53.0,77.0,0.0,0.0,0.125,0.4938099285027721,0.6856349836250097,0.6897881404976597,0.7801659960520969,1,0.0384615384615384,60,193,26
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,0.6597821993652432,81,87.0,78.85,103.0,0.0,0.0,0.12578125,0.3839160252030721,0.8404155544724616,0.6255679164991333,0.7892293012863056,0,0.0,60,193,26
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.6587017614512714,82,96.0,82.0,112.0,0.0,0.0,0.15625,0.3176807706933734,0.9877450980392156,0.6045379500737209,0.7248432269987758,1,0.0384615384615384,60,193,26
BRB,Barbados,Latin America & Caribbean ,High income,0.6579409859020005,83,71.0,64.85,106.49999999999996,0.0,0.0,0.2169270833333332,0.4376839484267321,0.8694472408349976,0.5981394797313992,0.7264932746148729,0,0.0,60,193,26
THA,Thailand,East Asia & Pacific,Upper middle income,0.6577800277292037,84,85.0,40.0,105.39999999999998,0.1,0.0,0.3406249999999999,0.1805741643377892,0.8457201250794135,0.6959196213257433,0.9089062001738688,0,0.0,60,193,26
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income,0.656083207299029,85,65.0,37.0,84.0,0.1,0.0,0.2447916666666666,0.3119948676060742,0.9066315423963224,0.7046030667039356,0.7011033524897836,0,0.0,60,193,26
MDA,Moldova,Europe & Central Asia,Upper middle income,0.6559742104121051,86,70.5,51.9,95.0,0.0333333333333333,0.0,0.2244791666666666,0.5279581493319597,0.8066741913681217,0.6028075479993572,0.6864569529489815,0,0.0,60,193,26
PAN,Panama,Latin America & Caribbean ,High income,0.6543250217256888,87,76.0,68.0,88.05,0.0,0.0,0.1044270833333333,0.3766516033544161,0.8106900404600847,0.7907396443352344,0.6392187987530201,1,0.0384615384615384,60,193,26
GEO,Georgia,Europe & Central Asia,Upper middle income,0.6532030764803352,88,83.5,48.95,107.34999999999998,0.0666666666666666,0.0,0.3041666666666665,0.509239642509025,0.887079208498833,0.6353008413217734,0.5811926135917094,0,0.0,60,193,26
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.6523110582727074,89,103.0,84.0,123.05,0.0,0.0,0.2033854166666666,0.2242510935493122,0.989839380449274,0.6157753186314454,0.7793784404607978,0,0.0,60,193,26
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,0.6512626453966167,90,83.0,69.95,105.15,0.0,0.0,0.1833333333333332,0.4104531585570775,0.9077504764921543,0.6217329960273007,0.6651139505099344,1,0.0384615384615384,60,193,26
