iso3,country,region,income_group,potential_capacity_score,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,evidence_variant,outcome,observed_outcome,predicted_outcome,realized_resilience_gap,conversion_efficiency_zscore,observed_shock_burden,conversion_profile,main_bottleneck_block,n,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,missing_count,missing_rate,source_indicator,source_provenance,higher_is_worse
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.746674096402051,0.3429346613064137,0.9774170852937168,0.7087091624784967,0.9576354765295764,0.1893229166666666,0.0,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,2.535999999999987,1.6275563069075798,0.9084436930924074,-0.554820960525339,2.535999999999987,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7458520258711318,0.5279205804875065,0.9666844126236896,0.7264596774701316,0.7623434329031993,0.0953124999999999,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.15609756097559568,1.1099724282892578,-0.9538748673136621,0.582567498820329,0.15609756097559568,effective converters,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7422932540057879,0.6949066120095724,0.9452842452889392,0.64959822247046,0.6793839362541803,0.3864583333333333,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.560975609756099,0.8354734043962824,-0.2744977946401834,0.16764619672345737,0.560975609756099,uncertain / data-limited systems,vulnerability,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
HUN,Hungary,Europe & Central Asia,High income,0.7401533362116283,0.592121438040106,0.9848619247385212,0.6280352282588941,0.7555947538089919,0.140625,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.8999999999999062,0.608137433997237,0.29186256600266924,-0.17825152009120648,0.8999999999999062,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
ARG,Argentina,Latin America & Caribbean ,Upper middle income,0.7394775181902676,0.6546176521084986,0.8513215977301716,0.7004171361212989,0.7515536868011014,0.171875,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.9689999999999941,1.0903379077474868,-0.12133790774749276,0.07410565457880396,0.9689999999999941,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7371535222427504,0.3453668031427175,0.9974899598393574,0.7977547814356623,0.8080025445532645,0.1830729166666666,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.6599999999999966,1.601794187588705,-0.9417941875887084,0.5751893702915463,0.6599999999999966,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7367604750619614,0.395799648377058,0.9581999257779844,0.7128524493659094,0.880189876726894,0.1429687499999999,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,3.2087804878049013,1.4376168180113695,1.7711636697935318,-1.0817167161756862,3.2087804878049013,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
POL,Poland,Europe & Central Asia,High income,0.7355818926450353,0.5407322335707355,0.9361927703656184,0.6856895491234622,0.7797130175203245,0.0520833333333333,0.0769230769230769,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,1.5048780487804976,0.8141681880058387,0.6907098607746589,-0.42184266489297767,1.5048780487804976,capacity under-realizers,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
GRC,Greece,Europe & Central Asia,High income,0.7354897896001756,0.5648799319924448,0.9824356150333362,0.737662296654285,0.6569813147206365,0.2244791666666666,0.0384615384615384,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,0.35121951219510095,0.5945155826465043,-0.24329607045140333,0.1485901223447179,0.35121951219510095,uncertain / data-limited systems,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.7351618152881761,0.2724264016816877,0.9963626333844748,0.7426942829021415,0.9291639431844008,0.3088541666666666,0.0,life_expectancy::life_expectancy_loss_2019_2020,life_expectancy_loss_2019_2020,2.1829999999999927,1.1307473843527815,1.0522526156472112,-0.6426505146855596,2.1829999999999927,uncertain / data-limited systems,capacity,186,186,7,0.03626943005181349,7,0.03626943005181349,SP.DYN.LE00.IN,https://api.worldbank.org/v2/country/all/indicator/SP.DYN.LE00.IN?format=json&date=2019:2022,True
