iso3,country,conversion_profile,capacity,equity_access,preparedness,vulnerability,weakest_bottleneck_block,weakest_bottleneck_gap,second_bottleneck_block,conversion_efficiency_zscore,realized_resilience_gap,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,missing_count_from_profile_sample,missing_rate_from_profile_sample
GBR,United Kingdom,capacity under-realizers,0.10698815173302523,0.02222894556154642,-0.017554232443443896,-0.011166476233241518,preparedness,-0.017554232443443896,vulnerability,0.2436217840916513,-391.5441537333818,0.0593749999999998,0.0384615384615384,106,0,0.0
KOR,"Korea, Rep.",effective converters,-0.0047325860673747,-0.10283353571315723,0.0007170307913013652,-0.032470706639764924,equity_access,-0.10283353571315723,vulnerability,0.2537716480645608,-407.8568160619966,0.2104166666666662,0.0769230769230769,106,0,0.0
PHL,Philippines,adaptive over-performers,-0.16523515503820338,-0.06448006299410058,-0.3829132705425531,-0.0835045065376665,preparedness,-0.3829132705425531,capacity,0.2661739212884271,-427.7895063668261,0.0625,0.0,106,0,0.0
GTM,Guatemala,adaptive over-performers,-0.208594976508907,-0.1831147768556487,-0.03157424928797736,-0.015274639313377136,capacity,-0.208594976508907,equity_access,0.3271621021699673,-525.8085146424469,0.0625,0.0,106,0,0.0
BHS,"Bahamas, The",adaptive over-performers,-0.24253457740168222,-0.06760913288652859,-0.11109057527956034,-0.11159460408801258,capacity,-0.24253457740168222,vulnerability,0.3320929275655985,-533.7332405200523,0.1721354166666666,0.0384615384615384,106,0,0.0
GRC,Greece,uncertain / data-limited systems,-0.03245688594712404,-0.12301499692122153,0.04552581387641652,0.010167694537810634,equity_access,-0.12301499692122153,capacity,0.366734629590852,-589.4087046577715,0.2244791666666666,0.0384615384615384,106,0,0.0
BEL,Belgium,effective converters,0.31687832744053335,-0.026979089989327854,0.0310264761634107,-0.03938834299424854,vulnerability,-0.03938834299424854,equity_access,0.3690158846965657,-593.0750931260563,0.1007812499999999,0.0384615384615384,106,0,0.0
CHE,Switzerland,effective converters,0.23787218643353258,-0.11604337670304965,0.011483193337136766,0.03718399304016351,equity_access,-0.11604337670304965,preparedness,0.3917916539711268,-629.6798628492759,0.1825520833333333,0.0384615384615384,106,0,0.0
PSE,West Bank and Gaza,adaptive over-performers,0.0038289225700023355,0.01755025051575332,0.06630965726493343,-0.05403689795152755,vulnerability,-0.05403689795152755,capacity,0.4050347160567432,-650.9638525240276,0.15625,0.0384615384615384,106,0,0.0
AND,Andorra,effective converters,-0.032764820786595705,0.013066925575871968,0.04072501810288176,0.011588513534116385,capacity,-0.032764820786595705,vulnerability,0.4072528611044628,-654.5288117447537,0.0791666666666666,0.1538461538461538,106,0,0.0
URY,Uruguay,effective converters,0.0068034374186976,0.04833217744139795,-0.01754470901771188,-0.0403652858356357,vulnerability,-0.0403652858356357,preparedness,0.4452804875803113,-715.646067258217,0.1197916666666666,0.0769230769230769,106,0,0.0
TUR,Turkiye,uncertain / data-limited systems,-0.07154702516453576,0.10148616389441423,0.10628261286556406,0.02832128955532609,capacity,-0.07154702516453576,vulnerability,0.4570064888710212,-734.491866574424,0.23984375,0.0769230769230769,106,0,0.0
PRT,Portugal,capacity under-realizers,0.07354944262925012,-0.08738900340676758,0.02326322551316473,0.04276981591736395,equity_access,-0.08738900340676758,preparedness,0.4586448090368129,-737.124942615842,0.0598958333333331,0.0384615384615384,106,0,0.0
SUR,Suriname,adaptive over-performers,-0.042793077584939665,0.05700342609190312,-0.2404779931023613,-0.054455796815170876,preparedness,-0.2404779931023613,vulnerability,0.4706846741780459,-756.4751777574361,0.078125,0.0,106,0,0.0
NLD,Netherlands,effective converters,0.19730539065465524,0.013940031370172856,-0.0037064490340781298,-0.06258897817337705,vulnerability,-0.06258897817337705,preparedness,0.4866469717607894,-782.1294693963337,0.0765624999999998,0.0384615384615384,106,0,0.0
AUS,Australia,effective converters,0.23181166951672738,-0.010448598282762678,0.005409087732541118,0.07870135869455663,equity_access,-0.010448598282762678,preparedness,0.5395775635134479,-867.1984784411287,0.0627604166666666,0.0384615384615384,106,0,0.0
CAN,Canada,effective converters,0.1537236320783002,-0.013616148165407682,-0.0486231764842493,0.06443652993543159,preparedness,-0.0486231764842493,equity_access,0.5773724585910407,-927.9416926154032,0.0520833333333333,0.0384615384615384,106,0,0.0
CYP,Cyprus,adaptive over-performers,-0.19424980265095204,-0.16921706532290692,-0.019707274168480837,0.0882531181714179,capacity,-0.19424980265095204,equity_access,0.5805364866265778,-933.0268564244698,0.1627604166666666,0.0769230769230769,106,0,0.0
MUS,Mauritius,uncertain / data-limited systems,-0.013688151170846208,-0.08674257271291985,0.09129501753809366,-0.0611853515777987,equity_access,-0.08674257271291985,vulnerability,0.5926717018181917,-952.5303362971296,0.2302083333333332,0.0769230769230769,106,0,0.0
MYS,Malaysia,adaptive over-performers,-0.11758529930226219,-0.0014692549587098647,0.06327694577516318,0.0296992778475611,capacity,-0.11758529930226219,equity_access,0.6108603240717282,-981.762733286546,0.1822916666666666,0.0384615384615384,106,0,0.0
DEU,Germany,effective converters,0.3862878529956404,0.0246261639667823,0.001659592587335279,-0.02115964718756025,vulnerability,-0.02115964718756025,preparedness,0.615078253921651,-988.5417074236598,0.0213541666666666,0.0384615384615384,106,0,0.0
EST,Estonia,capacity under-realizers,-0.03897418192487401,-0.0067094242158601824,-0.06842888079412657,-0.014718764143750063,preparedness,-0.06842888079412657,capacity,0.6283931730001282,-1009.9411842481522,0.0885416666666666,0.0384615384615384,106,0,0.0
KGZ,Kyrgyz Republic,adaptive over-performers,0.01786335487153684,0.012854006426521347,-0.04946645280752682,0.01817558110244266,preparedness,-0.04946645280752682,equity_access,0.6296783426338252,-1012.0066836800112,0.21484375,0.0,106,0,0.0
THA,Thailand,uncertain / data-limited systems,-0.1661450177061463,0.1795579261535828,-0.005601472650758055,0.01445258557561524,capacity,-0.1661450177061463,preparedness,0.6306762709903058,-1013.6105345642068,0.3406249999999999,0.0,106,0,0.0
MLT,Malta,uncertain / data-limited systems,0.09756979407000355,-0.10061237538767775,0.008374444132019487,-0.07789637964601437,equity_access,-0.10061237538767775,vulnerability,0.6458199268653755,-1037.949121304886,0.3864583333333333,0.0384615384615384,106,0,0.0
BLZ,Belize,uncertain / data-limited systems,-0.16217103018760998,0.07882307141291833,0.013925005251325118,0.04452093766016341,capacity,-0.16217103018760998,preparedness,0.6737376894803904,-1082.8180018854223,0.3708333333333333,0.0,106,0,0.0
JAM,Jamaica,adaptive over-performers,-0.11844309083351279,0.005067276468075588,0.029652665994619243,-0.030503438791537718,capacity,-0.11844309083351279,vulnerability,0.6781550515502107,-1089.9174995752967,0.1984374999999999,0.0,106,0,0.0
CPV,Cabo Verde,adaptive over-performers,-0.171877737825098,-0.04088985103590481,0.03941885482912677,-0.012923610793121543,capacity,-0.171877737825098,equity_access,0.7253228043293579,-1165.7245868367083,0.1200520833333333,0.0,106,0,0.0
SYC,Seychelles,uncertain / data-limited systems,-0.2554628607223162,0.020717927697143423,0.030653291374325486,-0.0327420194488518,capacity,-0.2554628607223162,vulnerability,0.7344894000496776,-1180.4569597126017,0.2296874999999999,0.0769230769230769,106,0,0.0
FRA,France,effective converters,0.2843218512356547,0.0361160454884758,-0.021920603570984132,0.02103962703955753,preparedness,-0.021920603570984132,vulnerability,0.7365146975756199,-1183.7119781782535,0.05234375,0.0384615384615384,106,0,0.0
TJK,Tajikistan,adaptive over-performers,0.03610282868852022,-0.11835839477981969,0.0,0.02412410431207368,equity_access,-0.11835839477981969,preparedness,0.8731159431863904,-1403.2548212413917,0.2218749999999999,0.0,106,0,0.0
NOR,Norway,effective converters,0.2920011572956166,0.0005689693358302828,0.025705461230274285,0.08426709437947966,equity_access,0.0005689693358302828,preparedness,0.8819371421389405,-1417.43207920569,0.0104166666666666,0.0384615384615384,106,0,0.0
BTN,Bhutan,uncertain / data-limited systems,-0.19329875559249737,0.11570775290791924,-0.07002401019333926,0.0506614381056516,capacity,-0.19329875559249737,preparedness,0.9503579149734344,-1527.3966035077842,0.3460937499999999,0.0,106,0,0.0
FJI,Fiji,adaptive over-performers,-0.1748332789572191,0.09777119664853673,0.06807508854290278,-0.128402252505724,capacity,-0.1748332789572191,vulnerability,0.9963822847207642,-1601.3660679833056,0.17734375,0.0,106,0,0.0
UZB,Uzbekistan,adaptive over-performers,0.09805945740445543,0.0,0.01912950133887026,-0.04393393988574468,vulnerability,-0.04393393988574468,equity_access,0.9972041778784172,-1602.6869985481662,0.1669270833333333,0.0384615384615384,106,0,0.0
ISL,Iceland,effective converters,0.15798792113033333,0.020644140596550953,-0.024918084289449638,0.08368361944000424,preparedness,-0.024918084289449638,equity_access,1.0124193151295544,-1627.1404687546424,0.0572916666666666,0.0384615384615384,106,0,0.0
UKR,Ukraine,uncertain / data-limited systems,0.09745416208532043,-0.014801166664808796,-0.31102993739550233,-0.09485844803014754,preparedness,-0.31102993739550233,vulnerability,1.0824306028338924,-1739.6612373640155,0.2919270833333333,0.1153846153846153,106,0,0.0
SWE,Sweden,effective converters,0.2669262107321101,0.009976902446609426,0.04185666910062591,0.054966311131914525,equity_access,0.009976902446609426,preparedness,1.0869609091047154,-1746.9422567587965,0.0520833333333333,0.0384615384615384,106,0,0.0
NZL,New Zealand,effective converters,0.07696618575414249,0.04539551941240916,-0.018197278571793873,0.0664782895887247,preparedness,-0.018197278571793873,equity_access,1.0928834844424085,-1756.4609036941083,0.0583333333333333,0.0384615384615384,106,0,0.0
FIN,Finland,effective converters,0.18739932055434283,0.000283294121533495,-0.01639546501199607,0.05805641435718645,preparedness,-0.01639546501199607,equity_access,1.095261278939026,-1760.282448378223,0.0520833333333333,0.0769230769230769,106,0,0.0
ATG,Antigua and Barbuda,uncertain / data-limited systems,-0.21784350864643626,0.007678742721281884,-0.026301056015928137,0.041093538542659624,capacity,-0.21784350864643626,preparedness,1.1536533611423352,-1854.129057770196,0.2627604166666665,0.0384615384615384,106,0,0.0
BRB,Barbados,adaptive over-performers,-0.15965286951283675,-0.05350303702698511,-0.0674625603219221,-0.12935512238507507,capacity,-0.15965286951283675,vulnerability,1.153939279448213,-1854.5885800642689,0.2169270833333332,0.0,106,0,0.0
LUX,Luxembourg,effective converters,0.08187015486732452,0.05284029956013969,0.052702057133079516,0.03555126218820037,vulnerability,0.03555126218820037,preparedness,1.2789940158889337,-2055.5741000275107,0.0679687499999999,0.0384615384615384,106,0,0.0
JPN,Japan,effective converters,0.28276789215311293,0.05034381571672075,0.022560895790932345,-0.026041017351148943,vulnerability,-0.026041017351148943,preparedness,1.4027544493100577,-2254.47944156019,0.0427083333333332,0.0769230769230769,106,0,0.0
VCT,St. Vincent and the Grenadines,adaptive over-performers,0.013975673058531646,0.04509687724393241,0.10087009165702998,-0.08823164196822009,vulnerability,-0.08823164196822009,capacity,1.4192387944136184,-2280.9727577366884,0.17734375,0.0769230769230769,106,0,0.0
DNK,Denmark,effective converters,0.25510661763919196,0.022245206016606622,0.015658069361510263,0.0010349246463426942,vulnerability,0.0010349246463426942,preparedness,1.4369633295580748,-2309.4592830255883,0.0833333333333333,0.0384615384615384,106,0,0.0
DOM,Dominican Republic,adaptive over-performers,-0.16341734410469727,-0.017362811037554216,-0.09448936324639323,-0.05689696758135443,capacity,-0.16341734410469727,preparedness,1.5073829326411707,-2422.636288104242,0.0833333333333333,0.0,106,0,0.0
NAM,Namibia,adaptive over-performers,0.027378077566510506,-0.09987978416494503,-0.5992917523843588,-0.17481476286960518,preparedness,-0.5992917523843588,vulnerability,1.6115552910680526,-2590.060059647264,0.2,0.0384615384615384,106,0,0.0
SLV,El Salvador,adaptive over-performers,0.022738577016196915,0.010726400806083003,0.03215204596661714,-0.08247000589689069,vulnerability,-0.08247000589689069,equity_access,1.620492975314234,-2604.4245304910974,0.0578124999999999,0.0,106,0,0.0
MNG,Mongolia,adaptive over-performers,0.08475739438446461,-0.09307246815589476,-0.08361114543342707,-0.10391137874447343,vulnerability,-0.10391137874447343,equity_access,2.432192655157404,-3908.9723377195673,0.2138020833333333,0.0,106,0,0.0
