iso3,country,n_bootstrap,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample,conversion_efficiency_mean,conversion_efficiency_std,conversion_efficiency_ci_low,conversion_efficiency_ci_high,probability_under_realizer,probability_over_performer,probability_data_limited_uncertain,profile_stability_score
EST,Estonia,1000,106,87,0.4507772020725389,0.620080015584924,0.15669873109859153,0.32496413488744846,0.9124398836369854,1.0,0.0,0.0,1.0
KOR,"Korea, Rep.",1000,106,87,0.4507772020725389,0.2461246756410859,0.14919801815755304,-0.07475462208178571,0.5195145325031284,0.059,0.0,0.0,0.941
LTU,Lithuania,1000,106,87,0.4507772020725389,-2.227047074408805,0.19415579671393365,-2.5546130946476158,-1.8266805860105653,0.0,0.0,1.0,1.0
ATG,Antigua and Barbuda,1000,106,87,0.4507772020725389,1.0959783044262164,0.24215968747125005,0.5959162739344914,1.546971530962129,0.0,0.0,1.0,1.0
COL,Colombia,1000,106,87,0.4507772020725389,-0.7862278741017831,0.20188389280452676,-1.173957584216387,-0.404778429052777,1.0,0.0,0.0,1.0
KAZ,Kazakhstan,1000,106,87,0.4507772020725389,-0.09311312074179116,0.29734557990982036,-0.6586614624661805,0.4826773254951102,1.0,0.0,0.0,1.0
ROU,Romania,1000,106,87,0.4507772020725389,-0.8955550965679161,0.1442565807122609,-1.1525766473945085,-0.6040423809643908,1.0,0.0,0.0,1.0
SMR,San Marino,1000,106,87,0.4507772020725389,0.059034105502056504,0.20677685617076946,-0.3118362564108495,0.4707156083143724,0.0,0.0,1.0,1.0
SYC,Seychelles,1000,106,87,0.4507772020725389,0.7436415466123133,0.17580526982604908,0.397259230021498,1.0938243160382193,0.0,0.0,1.0,1.0
RUS,Russian Federation,1000,106,87,0.4507772020725389,-2.3572753231868706,0.3537229129400565,-2.9623852088909524,-1.5866711943130136,0.0,0.0,1.0,1.0
CHL,Chile,1000,106,87,0.4507772020725389,-0.47014972503836544,0.17110739740076195,-0.8174899512977302,-0.12920523655206037,1.0,0.0,0.0,1.0
TUR,Turkiye,1000,106,87,0.4507772020725389,0.4176024816428385,0.16481517629522766,0.08385241383377241,0.7143199488989499,0.0,0.0,1.0,1.0
BRA,Brazil,1000,106,87,0.4507772020725389,-0.38249814062254656,0.15721008003802225,-0.6911823201183017,-0.07970964844650916,0.0,0.011,0.0,0.989
SRB,Serbia,1000,106,87,0.4507772020725389,-1.5841865016420138,0.21132100273830423,-1.969489537554737,-1.1573569113683824,0.0,0.0,1.0,1.0
MKD,North Macedonia,1000,106,87,0.4507772020725389,-1.9283901731529418,0.12824767449124494,-2.1731720165512765,-1.6613803308735098,0.0,0.0,0.0,1.0
CYP,Cyprus,1000,106,87,0.4507772020725389,0.5374973211251662,0.2636680074441363,-0.021864354498922392,1.0273513775208243,0.0,0.971,0.0,0.971
BGR,Bulgaria,1000,106,87,0.4507772020725389,-2.856876491245223,0.25489235400698357,-3.2918564540343103,-2.332804190074892,0.0,0.0,1.0,1.0
SGP,Singapore,1000,106,87,0.4507772020725389,-0.5108066252696304,0.3654797544120807,-1.2824238155713206,0.12145695923972856,0.0,0.0,1.0,1.0
LVA,Latvia,1000,106,87,0.4507772020725389,-0.06550714669717968,0.24396256566714863,-0.5050779396819931,0.42645129570518564,0.0,0.0,1.0,1.0
JOR,Jordan,1000,106,87,0.4507772020725389,-0.1687529888466605,0.2015156398143332,-0.538092637134062,0.22062652793472265,0.0,0.0,1.0,1.0
NIC,Nicaragua,1000,106,87,0.4507772020725389,-0.7232116027205935,0.26140914606080873,-1.1954104170991044,-0.16963854873170436,0.0,0.0,1.0,1.0
TUN,Tunisia,1000,106,87,0.4507772020725389,-0.4285538291079702,0.18133982789968783,-0.7982976599635045,-0.09270489802203825,0.0,0.006,0.0,0.994
IRN,"Iran, Islamic Rep.",1000,106,87,0.4507772020725389,-0.14807751131366667,0.15437312527784627,-0.46519988247376537,0.15606543712241208,0.0,0.155,0.0,0.845
VCT,St. Vincent and the Grenadines,1000,106,87,0.4507772020725389,1.3708300068065626,0.2478441600139176,0.9111416208337852,1.900845959088401,0.0,1.0,0.0,1.0
ALB,Albania,1000,106,87,0.4507772020725389,-1.0928477749934205,0.2241427019071574,-1.5134222586782864,-0.652696076573515,0.0,0.0,0.0,1.0
UZB,Uzbekistan,1000,106,87,0.4507772020725389,0.9996801333928351,0.23701882905218546,0.5917930991393854,1.492542646905674,0.0,1.0,0.0,1.0
KNA,St. Kitts and Nevis,1000,106,87,0.4507772020725389,-1.6614383928222791,0.1950777622975471,-1.9958016747414644,-1.2450685058260071,0.0,0.0,0.0,1.0
ECU,Ecuador,1000,106,87,0.4507772020725389,-1.1439418425630015,0.2264830087015994,-1.559091017505662,-0.7000528092060283,0.0,0.0,0.0,1.0
BIH,Bosnia and Herzegovina,1000,106,87,0.4507772020725389,-0.9358318835977364,0.18685104327356394,-1.291064823644855,-0.5629405860953062,0.0,0.0,0.0,1.0
PSE,West Bank and Gaza,1000,106,87,0.4507772020725389,0.4076087767229384,0.2464806458881881,-0.05108735805785087,0.9009079924172012,0.0,0.96,0.0,0.96
BRB,Barbados,1000,106,87,0.4507772020725389,1.1261932703188053,0.24855490133796973,0.6638859564482756,1.6544970290127095,0.0,1.0,0.0,1.0
