iso3,country,region,income_group,conversion_profile,profile_rule,potential_capacity_score,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,conversion_efficiency_zscore,conversion_efficiency_percentile,capacity_score,preparedness_score,vulnerability_score,equity_access_score,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,profile_n,profile_missing_rate_mean
HUN,Hungary,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7401533362116283,4209.2827,4349.684885378956,-140.40218537895635,0.08735931967376477,0.10377358490566035,0.592121438040106,0.9848619247385212,0.6280352282588941,0.7555947538089919,0.140625,0.0769230769230769,106,23,0.04180602006688959
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7090108830379578,4240.0146,4081.399851620132,158.61474837986862,-0.09869131645843612,0.028301886792452824,0.4097274500671538,0.9305901961000154,0.6673311737790726,0.8283947122055891,0.1458333333333333,0.0,106,23,0.04180602006688959
ITA,Italy,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7638932900906541,4042.4766,3745.4697504988844,297.00684950111554,-0.184799946246096,0.028301886792452935,0.6492379606677942,0.908578032959132,0.7573050759114517,0.7404520908242386,0.1109374999999999,0.0384615384615384,106,23,0.04180602006688959
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.746674096402051,519.23267,-208.1749471653402,727.4076171653402,-0.4525986143987932,-0.04716981132075472,0.3429346613064137,0.9774170852937168,0.7087091624784967,0.9576354765295764,0.1893229166666666,0.0,106,23,0.04180602006688959
CHL,Chile,Latin America & Caribbean ,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.6982007888708822,3120.594,2342.1399697564534,778.4540302435466,-0.48436008524956276,-0.38679245283018865,0.4368623179100732,0.9197557906003184,0.7529887957924098,0.6831962511807274,0.21875,0.0384615384615384,106,23,0.04180602006688959
POL,Poland,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7355818926450353,4447.032,3667.629509298451,779.4024907015491,-0.48495022464180176,-0.0660377358490567,0.5407322335707355,0.9361927703656184,0.6856895491234622,0.7797130175203245,0.0520833333333333,0.0769230769230769,106,23,0.04180602006688959
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7371535222427504,607.97754,-283.9066378489033,891.8841778489033,-0.5549371955598688,-0.0660377358490566,0.3453668031427175,0.9974899598393574,0.7977547814356623,0.8080025445532645,0.1830729166666666,0.0384615384615384,106,23,0.04180602006688959
ARG,Argentina,Latin America & Caribbean ,Upper middle income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7394775181902676,4112.5483,3211.275826774515,901.2724732254856,-0.5607786651550956,-0.10377358490566035,0.6546176521084986,0.8513215977301716,0.7004171361212989,0.7515536868011014,0.171875,0.0384615384615384,106,23,0.04180602006688959
CZE,Czechia,Europe & Central Asia,High income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.8097716791500749,4400.776,3394.2052132099575,1006.5707867900423,-0.6262960857776176,-0.10377358490566047,0.7306943708589259,0.9562019417740776,0.7031982734362339,0.8489921305310624,0.03671875,0.0769230769230769,106,23,0.04180602006688959
MDV,Maldives,South Asia,Upper middle income,capacity under-realizers,"uncertain if top-quartile method disagreement or high missingness; otherwise median split on potential capacity, observed burden, and conversion efficiency",0.7861726319518041,1109.1743,16.798199274564013,1092.376100725436,-0.67968481209664,-0.14150943396226415,0.5428082750870333,0.9702682370087844,0.7980405859266773,0.8335734297847213,0.2039062499999999,0.0,106,23,0.04180602006688959
