iso3,country,potential_capacity_score,median_potential_capacity_rank,observed_shock_burden,predicted_shock_burden,realized_resilience_gap,conversion_efficiency_zscore,conversion_efficiency_percentile,expected_burden_percentile,observed_burden_percentile,higher_efficiency_is_better,method_disagreement_index,expanded_feature_missing_rate,n_validation_countries,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
SVK,Slovak Republic,0.7754658787366955,29.0,5343.659,3088.583458626464,2255.0755413735355,-1.4031253471989393,-0.34905660377358494,0.5,0.8490566037735849,True,0.0942708333333333,0.0384615384615384,106,87,0.4507772020725389
MEX,Mexico,0.6295156707444782,105.5,5406.9375,3017.5292582103425,2389.4082417896575,-1.486708186644193,-0.3867924528301887,0.4716981132075472,0.8584905660377359,True,0.09375,0.0,106,87,0.4507772020725389
SRB,Serbia,0.6885828777950316,60.5,8464.41,5838.438624642402,2625.971375357598,-1.633899587921958,0.018867924528301883,0.9905660377358491,0.9716981132075472,True,0.2299479166666666,0.0384615384615384,106,87,0.4507772020725389
KNA,St. Kitts and Nevis,0.6647839475886296,67.0,4525.9116,1791.8590802797687,2734.0525197202314,-1.701148507271733,-0.6226415094339623,0.1792452830188679,0.8018867924528302,True,0.11015625,0.0769230769230769,106,87,0.4507772020725389
ARM,Armenia,0.6346016951006593,107.0,8041.9443,4910.701944743561,3131.2423552564387,-1.9482830780059721,-0.028301886792452824,0.9245283018867925,0.9528301886792453,True,0.2875,0.0,106,87,0.4507772020725389
MKD,North Macedonia,0.687622500803049,63.0,7957.562,4783.432165255891,3174.129834744109,-1.9749679976206702,-0.037735849056603765,0.9056603773584906,0.9433962264150944,True,0.09453125,0.0,106,87,0.4507772020725389
LTU,Lithuania,0.7209567647541534,46.0,8358.042,4641.0810579965655,3716.960942003434,-2.3127216878494723,-0.07547169811320753,0.8867924528301887,0.9622641509433962,True,0.2395833333333333,0.0384615384615384,106,87,0.4507772020725389
RUS,Russian Federation,0.6989983909344943,54.5,8749.637,4779.103764438648,3970.5332355613527,-2.470496319302296,-0.08490566037735847,0.8962264150943396,0.9811320754716981,True,0.2453125,0.0769230769230769,106,87,0.4507772020725389
BLR,Belarus,0.751985191892442,34.0,9591.885,4875.089768000801,4716.795231999199,-2.934826273506603,-0.07547169811320753,0.9150943396226415,0.9905660377358491,True,0.0885416666666666,0.0769230769230769,106,87,0.4507772020725389
BGR,Bulgaria,0.6854375852916174,68.5,10165.963,5386.532103044462,4779.430896955538,-2.9737986660169526,-0.028301886792452824,0.9716981132075472,1.0,True,0.3341145833333332,0.0384615384615384,106,87,0.4507772020725389
