iso3,country,profile,profile_probability,n_simulations,coverage_count,missing_count_from_potential_capacity_sample,missing_rate_from_potential_capacity_sample
COL,Colombia,structurally vulnerable systems,0.417,1000,106,87,0.4507772020725389
COL,Colombia,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
KAZ,Kazakhstan,effective converters,0.0,1000,106,87,0.4507772020725389
KAZ,Kazakhstan,capacity under-realizers,0.56,1000,106,87,0.4507772020725389
KAZ,Kazakhstan,adaptive over-performers,0.22,1000,106,87,0.4507772020725389
KAZ,Kazakhstan,structurally vulnerable systems,0.22,1000,106,87,0.4507772020725389
KAZ,Kazakhstan,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
ROU,Romania,effective converters,0.0,1000,106,87,0.4507772020725389
ROU,Romania,capacity under-realizers,0.513,1000,106,87,0.4507772020725389
ROU,Romania,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
ROU,Romania,structurally vulnerable systems,0.487,1000,106,87,0.4507772020725389
ROU,Romania,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
SMR,San Marino,effective converters,0.0,1000,106,87,0.4507772020725389
SMR,San Marino,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
SMR,San Marino,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
SMR,San Marino,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
SMR,San Marino,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
SYC,Seychelles,effective converters,0.0,1000,106,87,0.4507772020725389
SYC,Seychelles,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
SYC,Seychelles,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
SYC,Seychelles,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
SYC,Seychelles,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
RUS,Russian Federation,effective converters,0.0,1000,106,87,0.4507772020725389
RUS,Russian Federation,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
RUS,Russian Federation,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
RUS,Russian Federation,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
RUS,Russian Federation,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
CHL,Chile,effective converters,0.0,1000,106,87,0.4507772020725389
CHL,Chile,capacity under-realizers,0.485,1000,106,87,0.4507772020725389
CHL,Chile,adaptive over-performers,0.006,1000,106,87,0.4507772020725389
CHL,Chile,structurally vulnerable systems,0.509,1000,106,87,0.4507772020725389
CHL,Chile,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
TUR,Turkiye,effective converters,0.0,1000,106,87,0.4507772020725389
TUR,Turkiye,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
TUR,Turkiye,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
TUR,Turkiye,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
TUR,Turkiye,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
BRA,Brazil,effective converters,0.0,1000,106,87,0.4507772020725389
BRA,Brazil,capacity under-realizers,0.385,1000,106,87,0.4507772020725389
BRA,Brazil,adaptive over-performers,0.027,1000,106,87,0.4507772020725389
BRA,Brazil,structurally vulnerable systems,0.588,1000,106,87,0.4507772020725389
BRA,Brazil,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
SRB,Serbia,effective converters,0.0,1000,106,87,0.4507772020725389
SRB,Serbia,capacity under-realizers,0.0,1000,106,87,0.4507772020725389
SRB,Serbia,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
SRB,Serbia,structurally vulnerable systems,0.0,1000,106,87,0.4507772020725389
SRB,Serbia,uncertain / data-limited systems,1.0,1000,106,87,0.4507772020725389
MKD,North Macedonia,effective converters,0.0,1000,106,87,0.4507772020725389
MKD,North Macedonia,capacity under-realizers,0.319,1000,106,87,0.4507772020725389
MKD,North Macedonia,adaptive over-performers,0.0,1000,106,87,0.4507772020725389
MKD,North Macedonia,structurally vulnerable systems,0.681,1000,106,87,0.4507772020725389
MKD,North Macedonia,uncertain / data-limited systems,0.0,1000,106,87,0.4507772020725389
CYP,Cyprus,effective converters,0.321,1000,106,87,0.4507772020725389
CYP,Cyprus,capacity under-realizers,0.053,1000,106,87,0.4507772020725389
CYP,Cyprus,adaptive over-performers,0.581,1000,106,87,0.4507772020725389
CYP,Cyprus,structurally vulnerable systems,0.045,1000,106,87,0.4507772020725389
