iso3,country,region,income_group,population_total,gdp_per_capita_ppp,expanded_feature_missing_count,expanded_feature_missing_rate,capacity_score,capacity_rank,capacity_n_indicators,capacity_missing_rate,equity_access_score,equity_access_rank,equity_access_n_indicators,equity_access_missing_rate,preparedness_score,preparedness_rank,preparedness_n_indicators,preparedness_missing_rate,vulnerability_score,vulnerability_rank,vulnerability_n_indicators,vulnerability_missing_rate,full_potential_capacity_score,full_potential_capacity_rank,n_countries_in_expanded_sample,n_expanded_indicators
BTN,Bhutan,South Asia,Lower middle income,753480.4,13522.73191155268,0,0.0,0.12055309253087378,156,6,0.0,0.8230007293909417,27,7,0.0,0.8514114305809429,100,4,0.0,0.7092362861309001,51,9,0.0,0.6260503846584147,104,193,26
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,2814316.2,10390.931049161183,0,0.0,0.22827609121042278,120,6,0.0,0.7344155504883616,74,7,0.0,0.8809742637247908,91,4,0.0,0.6509635969585903,90,9,0.0,0.6236573755955415,105,193,26
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,6508468.0,14119.55722550812,1,0.0384615384615384,0.2990039826459934,102,6,0.0,0.5953462603202672,131,7,0.0,0.9642564590376925,21,4,0.25,0.6336296311541779,98,9,0.0,0.6230590832895327,106,193,26
GRD,Grenada,Latin America & Caribbean ,Upper middle income,115383.2,16214.156150204642,2,0.0769230769230769,0.2911663844123551,103,6,0.0,0.6414974219877472,121,7,0.14285714285714285,0.9151535956660868,69,4,0.25,0.6419917381565539,93,9,0.0,0.6224522850556857,107,193,26
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,6146874.0,15726.116652211382,1,0.0384615384615384,0.3822786569165964,75,6,0.0,0.6494824824510651,116,7,0.14285714285714285,0.7926950458636233,121,4,0.0,0.6585748480252485,88,9,0.0,0.6207577583141333,108,193,26
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,6337865.8,15097.78185312024,0,0.0,0.23085647789676786,118,6,0.0,0.683885050211251,102,7,0.0,0.8269696833764881,110,4,0.0,0.7383300460921496,33,9,0.0,0.6200103143941642,109,193,26
FJI,Fiji,East Asia & Pacific,Upper middle income,917716.4,12475.94749988686,0,0.0,0.17188590308671647,135,6,0.0,0.8271194706688227,24,7,0.0,0.9193966862730745,62,4,0.0,0.553064783244404,141,9,0.0,0.6178667108182544,110,193,26
GUY,Guyana,Latin America & Caribbean ,High income,778005.8,12728.99508126166,0,0.0,0.2028261617228233,124,6,0.0,0.766687950707509,56,7,0.0,0.867480051953228,95,4,0.0,0.6105846381499948,115,9,0.0,0.6118947006333888,111,193,26
PER,Peru,Latin America & Caribbean ,Upper middle income,31399123.6,15075.913510198938,1,0.0384615384615384,0.21905831588422206,123,6,0.0,0.7061315471456461,92,7,0.14285714285714285,0.7904545559187894,122,4,0.0,0.7070732519612428,53,9,0.0,0.6056794177274751,112,193,26
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,513072.0,8263.751881125061,0,0.0,0.17484144421883752,134,6,0.0,0.6884584229843812,100,7,0.0,0.8907404525592983,84,4,0.0,0.6685434249570065,83,9,0.0,0.6056459361798809,113,193,26
MNG,Mongolia,East Asia & Pacific,Upper middle income,3148099.8,14659.043384736,0,0.0,0.43147657642840015,65,6,0.0,0.6362758058643913,124,7,0.0,0.7677104522967445,128,4,0.0,0.5775556570056546,131,9,0.0,0.6032546228987976,114,193,26
