iso3,block,median_rank,mean_rank,rank_std,rank_p05,rank_p95,median_score,top_quartile_probability,bottom_quartile_probability,method_disagreement_index,n_valid_pipelines,n_countries_in_sample,n_indicators,country,region,income_group,expanded_feature_missing_count,expanded_feature_missing_rate
NAM,capacity,93.5,87.78333333333333,11.626251426071184,68.9,102.1,0.1908824950007414,0.0,0.0,0.1729166666666666,60,193,6,Namibia,Sub-Saharan Africa ,Lower middle income,1,0.0384615384615384
NER,capacity,181.0,179.1,3.6318039594669753,172.0,183.05,0.04348737065744754,0.0,1.0,0.05755208333333339,60,193,6,Niger,Sub-Saharan Africa ,Low income,0,0.0
NGA,capacity,169.0,169.4,3.652396473549935,163.0,174.0,0.05723082238418889,0.0,1.0,0.057291666666666664,60,193,6,Nigeria,Sub-Saharan Africa ,Lower middle income,1,0.0384615384615384
NIC,capacity,112.0,113.06666666666666,3.1030450993965406,108.0,118.0,0.1493928427326912,0.0,0.0,0.052083333333333336,60,193,6,Nicaragua,Latin America & Caribbean ,Lower middle income,4,0.1538461538461538
NLD,capacity,15.0,15.466666666666667,2.765662468358872,12.0,20.0,0.45128580708158605,1.0,0.0,0.041666666666666664,60,193,6,Netherlands,Europe & Central Asia,High income,1,0.0384615384615384
NOR,capacity,5.0,5.166666666666667,1.3186693629901654,3.0,7.0,0.5630924471026046,1.0,0.0,0.020833333333333332,60,193,6,Norway,Europe & Central Asia,High income,1,0.0384615384615384
NPL,capacity,155.0,154.43333333333334,4.817906414846829,145.0,162.0,0.08088769127182716,0.0,0.9666666666666667,0.08854166666666667,60,193,6,Nepal,South Asia,Lower middle income,0,0.0
NRU,capacity,35.0,35.0,8.540101482613268,21.95,47.14999999999999,0.3552813337139151,0.95,0.0,0.13124999999999995,60,193,6,Nauru,East Asia & Pacific,High income,3,0.1153846153846153
NZL,capacity,28.0,28.566666666666666,3.5088776299868627,23.0,35.0,0.3866025337035287,1.0,0.0,0.0625,60,193,6,New Zealand,East Asia & Pacific,High income,1,0.0384615384615384
OMN,capacity,107.5,106.13333333333334,5.649385413968103,94.0,114.0,0.16695771841104656,0.0,0.0,0.10416666666666667,60,193,6,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,0,0.0
PAK,capacity,183.5,183.15,2.3581419239166523,177.95,186.0,0.038532389727689534,0.0,1.0,0.04192708333333339,60,193,6,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0,0.0
